序号,视频标识,源文案路径,标题主题,选题痛点,钩子类别,前3秒功能,前8秒路径,开头表层类型,开头功能,主情绪按钮,共鸣触发点,语言锋利来源,答案缺口或收益,正文首次兑现,句式骨架与来源锚点,前30秒承接,核心主张,论证链,情绪路线,语言节奏,段落呼吸,转折与连接方式,排比功能与数量,结尾功能,行动CTA,可迁移能力,素材记录ID,素材类型摘要,表层素材转化提示,证据定位
1,01_一个人最大的自律，是(1),C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/芒果猴思维破局/02_转写文本/01_最终完整文案/01_一个人最大的自律，是(1).md,不教育他人：闭嘴是成年人的自律,好心指出亲友问题却换来疏远、敌意和关系破裂,绝对禁令＋关系灾难,直接禁止观众指出亲友问题并预告严重关系代价,禁令截停→亲友踩坑场景照见→留下为什么越正确越招恨的答案缺口,命令句＋极端后果,把热心纠正重新命名为可能伤害关系的智商羞辱,警觉到边界,劝朋友别买车、劝亲友分手后反被记恨,绝对判断、关系代价与正确/情绪价值反差,学会何时闭嘴，避免把好心变成仇恨,P002开始解释对方需要肯定而非教育,当{关系对象}正在为{选择}兴奋时，即使你看见{风险}，也别急着{纠正动作}，因为对方首先接收到的是{身份伤害}（P001-P002）,先给残酷真相，再承诺用个人血泪教训证明，并迅速进入买车故事,成年人只筛选不教育；未经请求的正确意见常被体验为羞辱,强禁令→自尊机制→买车故事→劝分故事→心理防御解释→成年人筛选原则→三类应对话术→因果归位,害怕失去关系→认出自己的好为人师→释然→收回控制欲,强判断短句负责施压，长叙事负责代入，金句负责阶段性封口,约三句一段；故事段铺细节，解释段用短结论换气,用“不”“你看”“为什么”“所以”在反转、解释和方法间切换,朋友买车、亲友孩子、抱怨对象三场景并列；结尾两组因果排比用于收权,用体面、慈悲和因果自负修复前文的冷感,没有明确平台 CTA；给出闭嘴、肯定、尊重选择和建设自己生活的行为指令,禁令式关系钩子、故事后果链、需求错位重命名、边界型情绪收束,mangguohou.material.01_一个人最大的自律-是-1,concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,来源档案仅用于分析、溯源和核验；最终稿迁移结构、钩子、节奏和论证功能，并使用新的措辞、场景、例子、比喻、故事与叙事顺序。,P001-P016；正文哈希 ece30a7c…；与02为重复组D01，独立证据频次只计1
2,02_一个人最大的自律，是,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/芒果猴思维破局/02_转写文本/01_最终完整文案/02_一个人最大的自律，是.md,不教育他人：闭嘴是成年人的自律,好心指出亲友问题却换来疏远、敌意和关系破裂,绝对禁令＋关系灾难,直接禁止观众指出亲友问题并预告严重关系代价,禁令截停→亲友踩坑场景照见→留下为什么越正确越招恨的答案缺口,命令句＋极端后果,把热心纠正重新命名为可能伤害关系的智商羞辱,警觉到边界,劝朋友别买车、劝亲友分手后反被记恨,绝对判断、关系代价与正确/情绪价值反差,学会何时闭嘴，避免把好心变成仇恨,P002开始解释对方需要肯定而非教育,当{关系对象}正在为{选择}兴奋时，即使你看见{风险}，也别急着{纠正动作}，因为对方首先接收到的是{身份伤害}（P001-P002）,先给残酷真相，再承诺用个人血泪教训证明，并迅速进入买车故事,成年人只筛选不教育；未经请求的正确意见常被体验为羞辱,强禁令→自尊机制→买车故事→劝分故事→心理防御解释→成年人筛选原则→三类应对话术→因果归位,害怕失去关系→认出自己的好为人师→释然→收回控制欲,强判断短句负责施压，长叙事负责代入，金句负责阶段性封口,约三句一段；故事段铺细节，解释段用短结论换气,用“不”“你看”“为什么”“所以”在反转、解释和方法间切换,朋友买车、亲友孩子、抱怨对象三场景并列；结尾两组因果排比用于收权,用体面、慈悲和因果自负修复前文的冷感,没有明确平台 CTA；给出闭嘴、肯定、尊重选择和建设自己生活的行为指令,禁令式关系钩子、故事后果链、需求错位重命名、边界型情绪收束,mangguohou.material.02_一个人最大的自律-是,concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,来源档案仅用于分析、溯源和核验；最终稿迁移结构、钩子、节奏和论证功能，并使用新的措辞、场景、例子、比喻、故事与叙事顺序。,P001-P016；正文哈希 ece30a7c…；与01为重复组D01，独立证据频次只计1
3,03_不要养_穷相_，要学,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/芒果猴思维破局/02_转写文本/01_最终完整文案/03_不要养_穷相_，要学.md,普通人如何练出贵气感,把贵气误解为名牌和财富，同时因不配得、琐事纠缠与讨好显得紧绷,身份命令＋阶层反差,命令观众养贵气、戒穷相并立刻推翻金钱等于贵气的旧理解,身份标签截停→名牌与白T反差照见→承诺扒开普通人可练的底层贵气,命令句＋阶层对照,把贵气从消费能力改写为配得感、注意力、边界和见识,窘迫到舒展,先吃烂草莓、舍不得穿好衣服、为小便宜耗时、不会拒绝,富/穷身份词、奢侈表象反差和生活细节的羞耻感,得到一套不依赖先变有钱的贵气训练系统,P003用烂草莓和昂贵衣服开始定义第一种穷相,别把{理想身份}理解成{昂贵表象}，真正暴露差距的是你面对{日常选择}时的{心理姿态}（P001-P003）,用两类人物反差后提出问题，再承诺几个观点并让观众对号入座,贵气是一套配得、注意力取舍、边界和见识投入共同构成的内在系统,名牌反差→生活自测→配得感→稀缺心态与注意力→战略性吃亏→人际边界→见识定投→系统重装,自卑窘迫→被识破→获得解释→舒展和向上感,每节先给标签再堆场景，随后用一句定义和一组动作封口,每个能力约二至三段；场景密集，定义与动作交替,用“紧接着”“说到这儿”“那么最后”显式推进四个模块,好衣服/好东西、比价/外卖、同事/借钱、服务/圈子多组双项排比，服务身份自测,用系统重装和世界态度变化完成身份升级,立刻使用好东西、停止小额纠缠、平静拒绝、为优质体验付费,身份重定义、四模块清单、日常微场景自测、从羞耻到配得的路线,mangguohou.material.03_不要养_穷相_-要学,concepts_theories、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,来源档案仅用于分析、溯源和核验；最终稿迁移结构、钩子、节奏和论证功能，并使用新的措辞、场景、例子、比喻、故事与叙事顺序。,P001-P015；具名心理学概念、引语和消费建议发布前核验
4,04_从一无所有到30万粉,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/芒果猴思维破局/02_转写文本/01_最终完整文案/04_从一无所有到30万粉.md,低谷期靠一件小事重启动力,贫穷、负债、刷视频和打游戏却没有赚钱动力，并为躺平自责,痛点问句＋结果型个人证据,用穷到交不起房租却仍沉迷娱乐的矛盾问题让低谷观众立即自认,困境问句截停→电子麻醉场景照见→亮出几个月从同样状态做到30万粉的证据缺口,连环问句＋个人结果,先解除懒惰羞耻，再用个人翻盘结果建立可行性,绝望到掌控,收入断崖、熬夜刷屏、对未来恐慌、害怕再次失败,具体穷困场景、强烈自我暴露与可量化账号结果,理解瘫痪的两个陷阱，并找到低风险的翻盘种子,P002-P005开始命名电子麻醉与低水平稳定,当你明明已经{现实危机}却仍在{麻醉行为}，问题可能不是懒，而是{心理保护机制}；我也曾如此，并靠{微小动作}重新启动（P001-P002）,迅速交代自身业务下滑与报废状态，再预告两个心理陷阱,能量枯竭时不靠宏大计划翻盘，而靠有内在收益、低风险高上行的小行动重建掌控感,痛点矛盾→个人低谷→电子麻醉→低水平稳定→反驳宏大翻盘→行为激活→剪视频种子→两项筛选条件→发布与复利→即时行动,羞耻和绝望→被理解→看到小出口→希望→行动冲动,自述长句制造真实感，概念短句命名，结尾连续动作句加速,一个陷阱一段到两段；个人故事与方法清单交替,用“第一个”“第二个”“那么怎么破局”“最关键一步”逐级推进,两个陷阱、两个条件、三类低成本例子构成递进清单,以从废墟走出和立刻行动完成英雄式回升,找一件有内在收益且风险极低的小事，持续做并公开分享,低谷去羞耻、个人证据、微行动筛选器、低成本试探与公开反馈闭环,mangguohou.material.04_从一无所有到30万粉,concepts_theories、examples_scenes、metaphors_analogies、methods_actions、personal_stories、specific_facts_numbers,来源档案仅用于分析、溯源和核验；最终稿迁移结构、钩子、节奏和论证功能，并使用新的措辞、场景、例子、比喻、故事与叙事顺序。,P001-P014；30万粉、心理学概念、平台与收益判断发布前核验
5,05_保护_不快乐_的能力,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/芒果猴思维破局/02_转写文本/01_最终完整文案/05_保护_不快乐_的能力.md,不快乐为何是快乐的底色,把快乐理解为无限满足，结果在欲望填满后麻木、空虚,悖论金句＋财富极端情境,用“最大的快乐是不快乐”的悖论制造认知冲突,反直觉金句截停→财富自由像游戏破解版的画面照见→留下满足为何导致虚无的机制缺口,对仗悖论＋游戏比喻,把不快乐重写为感官灵敏和目标张力的必要条件,好奇到珍惜,游戏开挂后无聊、目标消失、消费无波动、富人主动吃苦,悖论、极端财富对照和贯穿全文的游戏/感官比喻,理解如何通过节制、等待和挑战给快乐保鲜,P001-P003用破解版游戏解释挑战消失后的虚无,当{人人追求的状态}被填满时，反而会失去{感受能力}；真正该保护的是让快乐有落差的{必要缺口}（P001-P003）,从游戏破解版推进到大脑奖励预测，再借富豪怀旧说明目标张力,快乐依赖期待、努力与改善之间的落差；适度不满足是在保护感官而非崇拜吃苦,悖论→游戏比喻→奖励机制→富豪案例→享乐适应→感官保鲜→普通人电瓶车场景→落差逻辑→节制仪式,惊讶→理解虚无→重新评价当下匮乏→珍惜与节制,抽象判断后接长比喻，再用生活场景把哲理落地；结尾诗性放慢,机制段较长，案例段提供画面，末段用三组短句留白,用“为什么”“这也就不难理解”“所以”“而对于”在机制和人群间转场,留一点缺口/缝隙/时间三项排比，用于诗性收束而非列方法,把匮乏从羞耻转为可兑换幸福的张力，并以季节意象抚平焦虑,有能力时仍保留等待、节制和主动挑战，避免持续满格刺激,悖论开场、贯穿比喻、极端案例转普通人红利、哲理型诗性收束,mangguohou.material.05_保护_不快乐_的能力,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、specific_facts_numbers,来源档案仅用于分析、溯源和核验；最终稿迁移结构、钩子、节奏和论证功能，并使用新的措辞、场景、例子、比喻、故事与叙事顺序。,P001-P013；多巴胺、享乐适应、具名人物言论等发布前核验
6,06_别让你的善良，沦为弱,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/芒果猴思维破局/02_转写文本/01_最终完整文案/06_别让你的善良，沦为弱.md,停止扶贫式社交，保护资源与边界,因心软借钱、出主意和长期接住他人烂摊子而耗尽自己,财富因果断言＋收藏承诺,把没发财直接归因于帮助错的人，触发金钱与善良冲突,财富断言截停→借钱和求助场景照见→承诺抢回漏掉的财运,因果判断＋高收益承诺,把无门槛善意重写为资源泄漏与寄生关系,内疚到自保,借钱难要、建议被埋怨、长期听诉苦后烦躁和决策变差,财富损失、能量倒灌、寄生虫等强烈命名与恐惧画面,识别不该帮的人并建立帮助门槛,P002-P004先用帮人后耗竭场景和戏剧三角解释反噬,你以为{善意行为}只花掉{表面成本}，其实它还可能让你承担{注意力/责任代价}；关键不是冷漠，而是筛选{互惠对象}（P001-P003）,承诺砸碎老好人思维后连续发问，让观众回忆帮助后的疲惫,帮助必须有对象与互惠门槛；把有限资源投向能共同向上的关系,财富断言→帮人后果自测→戏剧三角→神经/能量解释→黑洞比喻→共生寄生模型→富人战略性冷漠→互助投资→慷慨悖论→因果惩罚→收回能量,被吓到→对既往善意怀疑→允许自保→决绝收权,高强度判断持续推进，以心理学、生物学、财富学多套解释叠加同一结论,每个理论一至两段；强比喻连续，几乎不留中性缓冲,用“这根本不是玄学”“大错特错”“如果还不够直观”“更深层”升级论证,好运/智慧/能量与绝望/焦虑/匮乏多组三项排比，用于放大损失,用先度自己把冷漠包装成自我慈悲和搞钱正当性,停止扶贫式社交，为借钱、出主意和情绪接纳设置门槛,善良与财富冲突钩子、多理论同向论证、共生/寄生筛选框架、强收权结尾,mangguohou.material.06_别让你的善良-沦为弱,concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、specific_facts_numbers,来源档案仅用于分析、溯源和核验；最终稿迁移结构、钩子、节奏和论证功能，并使用新的措辞、场景、例子、比喻、故事与叙事顺序。,P001-P015；心理学、神经科学、马基雅维利引语与因果断言发布前必须核验并降确定性
7,07_别让你的嘴，出卖了你,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/芒果猴思维破局/02_转写文本/01_最终完整文案/07_别让你的嘴，出卖了你.md,回答目的而非问题的信息防御,说话太快、过度坦诚，在职场和关系中泄露底牌并被利用,对偶法则＋高手分层,用一条反常规沟通法则划出高手与普通人的差距,法则截停→被拿捏和得罪人的经历照见→留下如何听懂提问目的的收益,对偶判断＋身份对照,把提问重新解释为索取筹码，而非单纯获取事实,懊恼到掌控,同事问项目进度、评价领导、打听工资房子孩子,问题/目的反差、鱼钩比喻和失言风险,学会翻译提问目的，并用模糊、反问、沉默保护信息,P002-P004解释嘴快脑慢和多数提问是在寻找筹码,不要直接回答{表面问题}，先判断对方想获得的{真实筹码}，再选择{封路/模糊/反问}（P001-P004）,连续两个为什么放大被拿捏感，再以鱼钩画面命名防御缺失,有效沟通先识别对方目的，再决定信息边界；坦诚不是无条件交底,沟通法则→失言痛点→筹码机制→项目进度场景→目的型回答→领导评价场景→工资比较→装傻沉默策略→三问安检门,困惑懊恼→警觉→学会周旋→从容,原则句短促，职场对话长而具体，策略后接古语式金句提高记忆,一条策略配一个场景；段尾常用定义句封口,用“首先”“举个例子”“再教你一招”“一旦”推进技能层级,微笑/反问/沉默/装傻四项选择与结尾三问，服务即时决策,用守口即守福把防御升格为从容与智慧,任何问题先停三秒：他要什么、我能给什么、我不该说什么,目的翻译、具体对话演示、模糊回应策略、三问决策清单,mangguohou.material.07_别让你的嘴-出卖了你,concepts_theories、examples_scenes、metaphors_analogies、other_surface_material、quotes_phrases、specific_facts_numbers,来源档案仅用于分析、溯源和核验；最终稿迁移结构、钩子、节奏和论证功能，并使用新的措辞、场景、例子、比喻、故事与叙事顺序。,P001-P015；古语和心理学名词发布前核验；P007含来源噪声残句，不作为语言样本
