编号,入库日期,来源账号,来源视频链接,钩子原文摘要,钩子类型,前3秒机制,触发情绪,适用场景,可复用公式,我的改写钩子,风险提醒,备注

IFSH-001,2026-07-12,如果说,https://www.douyin.com/video/7648992848871722259,用反常识短句推翻见路就走,悖论钩子,熟悉行为突然变成陷阱,警觉与好奇,选择与成长路径,最大的陷阱不是没有X而是见到X就上,普通人改变自己最大的陷阱不是没方法而是每个方法都想试,必须在正文解释适用条件,成熟期优先
IFSH-002,2026-07-12,如果说,https://www.douyin.com/video/7653052955993656628,先问无反馈如何坚持再给一句心法,痛点提问,直接命中正在经历的数据真空,被理解与希望,创作和长期项目,如何在没有X时依然Y你只需要先记住一句话,如何在播放量没有起色时继续更新你先记住一句话数据没来不等于积累没发生,避免保证必然成功,适合冷启动
IFSH-003,2026-07-12,如果说,https://www.douyin.com/video/7639313715996691762,用具体资产数字制造身份反转,数字场景,观众会立刻在脑中算账,质疑与比较,财富与生活主权,当你拥有A和B时你其实已经接近C千万别急着反驳,当你有一笔能托住基本生活的存款和一项可持续能力时你已经拥有了很多人没有的选择权,数字必须有证据,只借机制不借原数字
IFSH-004,2026-07-12,如果说,https://www.douyin.com/video/7655286121772993844,一句抽象经典接一个日常表现,经典现代化,文化熟悉感与现实代入同时出现,认同与求解,传统智慧与认知,经典概念说的不是玄学而是你每天都在经历的X,大象无形说的不是低调而是当能力真正内化你不再需要靠工具数量证明自己,古文归属需核验,成熟期主钩子
IFSH-005,2026-07-12,如果说,https://www.douyin.com/video/7638975546461785384,弱者强者智者三级身份,身份阶梯,观众会立即判断自己在哪一层,自省与向往,境界和成长,同一件事普通人X高手Y真正成熟的人Z,面对成长焦虑普通人四处找方法高手建立行动节奏真正成熟的人只做能长期积累的事,避免羞辱式贴标签,可把弱者改为阶段
IFSH-006,2026-07-12,如果说,https://www.douyin.com/video/7642220065483492643,说一个暴论后限定唯一破局点,暴论钩子,高确定性制造争议,质疑与期待,账号定位与方法论,说一个暴论真正适合X的不是A而是B,说一个暴论普通人提高认知最该先做的不是继续听道理而是完成一次真实输出,唯一绝对等词需收敛,早期冲突力局部调用
IFSH-007,2026-07-12,如果说,https://www.douyin.com/video/7650451125698710811,权威人物加被忽略的后半句,权威纠偏,观众熟悉的说法被打开第二层,惊讶与可信感,书籍人物历史,大家都记住了X却很少有人读完Y,所有人都在讲提高认知却很少有人追问听懂以后究竟改变了哪一次选择,人物原话必须核验,适合研究型稿件
IFSH-008,2026-07-12,如果说,https://www.douyin.com/video/7659780318336929065,三种人活在三种系统里,分层钩子,快速提供完整认知地图,对号入座与升级欲,世界观内容,第一层活在A第二层活在B更高层活在C,普通人把道理当答案进阶者把道理变成行动真正形成复利的人把行动变成长期系统,层级不是人格优劣,适合账号母题
OMEH-001,2026-07-14,oMel,本地SRT（作品链接未提供）,你并不笨也不是不想变好只是缺少重新思考能力,身份修复钩子,先保护尊严再命名能力缺口,自责到被理解,粗心内耗表达与决策,你并不{人格否定}也不是不想{目标}只是缺{可训练能力},你不是表达差只是每次开口前都先把自己判成了不值得被听见的人,能力需可训练且正文前半段兑现,对应OMEH-01
OMEH-002,2026-07-14,oMel,本地SRT（作品链接未提供）,明知有更重要的事但大拇指停不下来,动作矛盾钩子,用可观察身体动作制造矛盾与机制缺口,羞耻到警觉,手机拖延专注与行动,你明明知道{重要事}但为什么{身体动作}停不下来,你明明想开始做账号但为什么每次打开电脑前都先刷半小时别人怎么做账号,不要把观众叫作懒人；机制必须解释,对应OMEH-02
OMEH-003,2026-07-14,oMel,本地SRT（作品链接未提供）,我知道你正躺床上刷视频并想划走,此刻状态镜像,描述平台当下动作再承认退出冲动,戒备到信任,长视频学习与成长主题,我知道你正{具体状态}也知道你看到{内容}想{退出动作}但会得到{明确能力},我知道你刚刷完一堆AI工具测评已经不想再听一个功能介绍了但这条只帮你判断一个工具值不值得学,不要假装读心；场景必须真实,对应OMEH-03
OMEH-004,2026-07-14,oMel,本地SRT（作品链接未提供）,没准备好改变可以先划走等想改变再回来,反向筛选钩子,给退出许可再建立留下者身份,被筛选到主动选择,长内容习惯与行动主题,如果你还没准备好{投入}可以先{离开}等你真想{目标}再回来,如果你只是想收藏一个方法可以先划走等你真想今天开始做第一版产品再回来,不能羞辱或做人群优越感分层,对应OMEH-04
OMEH-005,2026-07-14,oMel,本地SRT（作品链接未提供）,未来十年甚至后半辈子最大的痛苦是钱不够用,未来代价钩子,把短期问题投射为长期具体代价再给反主流框架,焦虑到掌控,财富职业与人生选择,如果{问题}不解决{未来时间尺度}最痛的会是{具体代价},如果你一直把涨工资当唯一出路五年后最累的可能不是钱少而是你没有任何不靠时间卖钱的能力,不得承诺财富自由；金融结论先核验,对应OMEH-05
XWLH-001,2026-07-14,小五狼,本地SRT（作品链接未提供）,先用两个问题让观众站队再提出价值矛盾,自测问题钩子,让观众先作真实判断再把问题放到自己身上,参与感与对号入座,认知成长自控与方法教学,先问{真实判断问题}再问{推进矛盾的问题},你觉得一个人真正缺的是什么能力如果你答不上来你可能一直在练最容易展示却最难改变你的那一种,删去公屏口令；两个问题都须推进正文,对应XWH-01
XWLH-002,2026-07-14,小五狼,本地SRT（作品链接未提供）,比你蠢的人反而更成功,反差比较钩子,让观众看到不愿承认的结果差异并延迟解释,刺痛与好奇,行动力决策与自我怀疑,你有没有发现{看似不如你的人}反而更容易{得到结果},你有没有发现有些人不比你努力却更早开始有作品因为他从不等所有条件都确认,不能羞辱比较对象或贴智商标签,对应XWH-02
XWLH-003,2026-07-14,小五狼,本地SRT（作品链接未提供）,看完就不可逆变强,收益承诺加自测,先给谨慎可兑现收益再让观众确认需要什么答案,升级欲,习惯效率与自我提升,这条不保证你立刻{夸张结果}但会帮你看清{一个具体判断},这条不保证你今天就变自律但会帮你看清为什么你每次计划都死在第一步,收益须在正文前半段兑现；禁用不可逆变强,对应XWH-03
XWLH-004,2026-07-14,小五狼,本地SRT（作品链接未提供）,风水直白地说叫环境心理学,熟悉概念现代翻译,把有争议概念翻译成日常变量制造认知反差,熟悉感与好奇,环境选择与长期主义,{熟悉概念}放到今天其实就是{具体环境或选择问题},所谓环境运气很多时候只是你把每天影响状态的东西放在了什么位置,概念和引文需核验；不得神秘化,对应XWH-04
XWLH-005,2026-07-14,小五狼,本地SRT（作品链接未提供）,大脑可塑性原理,概念知识缺口,生活现象后命名概念并预告解释路径,好奇到听懂,心理学脑科学决策与习惯,你以为{生活现象}只是习惯问题其实背后是{待解释概念},你以为自己总被旧习惯拉回去只是没毅力其实是你一直在给旧环境重复投票,不搬运研究背书；概念必须服务当前主题,对应XWH-05
MGHH-001,2026-07-22,芒果猴思维破局,本地SRT（作品链接未提供）,先禁止直接回答再指出隐藏筹码,禁令加隐性代价,用反常规法则让观众担心自己正在泄露信息,警觉到边界,职场沟通套话和关系防守,不要只{习惯回应}先判断对方真正想获得的{筹码或结果},别急着回答同事问你忙不忙先想想这个问题接下来会把什么任务推给你,不能把所有提问都预设为恶意；正文须给合乎伦理的边界动作,对应mgh.opening.prohibition-hidden-cost.v1与MGH-H01
MGHH-002,2026-07-22,芒果猴思维破局,本地SRT（作品链接未提供）,用现实危机和麻醉动作提出矛盾问句,痛点问句加同起点,先解除懒惰羞耻再留下心理机制和微行动缺口,羞耻到被理解,低谷拖延创作与赚钱焦虑,为什么你明明已经{现实危机}却仍在{麻醉动作}问题也许不是懒而是{待解释机制},为什么你明明担心账号永远发不出去却每天都在刷别人怎么做账号,个人证据必须真实；不能保证同样结果,对应mgh.opening.fate-cause-turnaround.v1与MGH-H02
MGHH-003,2026-07-22,芒果猴思维破局,本地SRT（作品链接未提供）,一次真实动作胜过多次脑内预演,悖论数字公式,用数量反差把行动重写为购买确定性,焦虑到行动,等待纠结执行和长期项目,一次{真实动作}往往比许多次{脑内预演}更能结束{具体折磨},一次发出不完美报价比在脑子里演练十次被拒绝更接近答案,数字不能伪装成研究结论；正文前半段必须解释,对应mgh.opening.paradox-formula-map.v1与MGH-H03
